央视卫视,#genre#
四川星空购物频道,http://192.168.1.1:8888/udp/239.93.12.243:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226198/10000100000000060000000000167424_0.smil
四川妇女儿童频道,http://192.168.1.1:8888/udp/239.93.12.219:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221228366/10000100000000060000000004584332_0.smil
四川科教频道,http://192.168.1.1:8888/udp/239.93.12.221:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226362/10000100000000060000000000558949_0.smil
四川公共·乡村,http://192.168.1.1:8888/udp/239.93.12.245:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226675/10000100000000060000000000167007_0.smil
内江新闻频道,http://192.168.1.1:8888/udp/239.93.13.250:10001
内江公共频道,http://192.168.1.1:8888/udp/239.93.13.251:10002
内江科教频道,http://192.168.1.1:8888/udp/239.93.13.252:10003
内江影艺频道,http://192.168.1.1:8888/udp/239.93.13.253:10004
成都TV-6,http://192.168.1.1:8888/udp/239.93.12.64:5140
峨眉电影,http://192.168.1.1:8888/udp/239.93.13.54:5140
熊猫娱乐,http://192.168.1.1:8888/udp/239.93.12.94:5140
康巴卫视,http://192.168.1.1:8888/udp/239.93.12.125:5140
交通四川,http://192.168.1.1:8888/udp/239.93.12.142:5140
四川广场舞大赛,http://192.168.1.1:8888/udp/239.93.13.190:5140
大爱四川,http://192.168.1.1:8888/udp/239.93.13.110:5140
熊猫直播间,http://192.168.1.1:8888/udp/239.93.12.126:5140
熊猫都市剧场,http://192.168.1.1:8888/udp/239.93.12.171:5140
四川国际,http://192.168.1.1:8888/udp/239.93.12.170:5140
爱上4K,http://192.168.1.1:8888/udp/239.93.12.97:5140
其他频道,#genre#
游戏风云,http://192.168.1.1:8888/udp/239.93.12.37:5140
游戏风云2,http://192.168.1.1:8888/udp/239.93.12.135:5140
汽车世界,http://192.168.1.1:8888/udp/239.93.12.39:5140
CETV-1高清,http://192.168.1.1:8888/udp/239.93.13.111:5140
CETV-4高清,http://192.168.1.1:8888/udp/239.93.12.50:5140
股评汇,http://192.168.1.1:8888/udp/239.93.12.141:5140
东方财经,http://192.168.1.1:8888/udp/239.93.12.249:5140
导视,http://192.168.1.1:8888/udp/239.93.12.129:5140
熊猫新闻,http://192.168.1.1:8888/udp/239.93.13.112:5140
热门综艺,http://192.168.1.1:8888/udp/239.93.12.151:5140
中国达人秀,http://192.168.1.1:8888/udp/239.93.12.152:5140
演唱会,http://192.168.1.1:8888/udp/239.93.12.153:5140
赛事精选-1,http://192.168.1.1:8888/udp/239.93.12.130:5140
网球,http://192.168.1.1:8888/udp/239.93.12.131:5140
赛事精选-2,http://192.168.1.1:8888/udp/239.93.12.132:5140
高尔夫,http://192.168.1.1:8888/udp/239.93.12.133:5140
赛事精选-3,http://192.168.1.1:8888/udp/239.93.12.134:5140
收视导视,http://192.168.1.1:8888/udp/239.93.12.213:5140
中国微电影,http://192.168.1.1:8888/udp/239.93.12.234:5140
西部旅游,http://192.168.1.1:8888/udp/239.93.12.235:5140
大众生活,http://192.168.1.1:8888/udp/239.93.13.157:4120
直播室1,http://192.168.1.1:8888/udp/239.93.13.180:5140
直播室2,http://192.168.1.1:8888/udp/239.93.13.181:5140
直播室3,http://192.168.1.1:8888/udp/239.93.13.182:5140
直播室4,http://192.168.1.1:8888/udp/239.93.13.183:5140
直播室5,http://192.168.1.1:8888/udp/239.93.13.184:5140
直播室6,http://192.168.1.1:8888/udp/239.93.13.185:5140
直播室7,http://192.168.1.1:8888/udp/239.93.13.186:5140
直播室8,http://192.168.1.1:8888/udp/239.93.13.187:5140
直播室9,http://192.168.1.1:8888/udp/239.93.12.97:5140
直播室10,http://192.168.1.1:8888/udp/239.93.12.98:5140
直播室11,http://192.168.1.1:8888/udp/239.93.12.99:5140
直播室12,http://192.168.1.1:8888/udp/239.93.12.100:5140
直播室13,http://192.168.1.1:8888/udp/239.93.12.101:5140
直播室14,http://192.168.1.1:8888/udp/239.93.12.102:5140
直播室15,http://192.168.1.1:8888/udp/239.93.12.103:5140
直播室16,http://192.168.1.1:8888/udp/239.93.12.104:5140
劲爆体育,http://192.168.1.1:8888/udp/239.93.12.92:5140
竞G场,http://192.168.1.1:8888/udp/239.93.12.136:5140
电竞天堂,http://192.168.1.1:8888/udp/239.93.12.135:5140
家庭影院,http://hdtv.lzu6.edu.cn/hls/hls75a29.m3u8
爱映画,http://hdtv.lzu6.edu.cn/hls/hls78a46.m3u8
卡通剧场,http://hdtv.lzu6.edu.cn/hls/hls77a30.m3u8
熊猫少儿,http://192.168.1.1:8888/udp/239.93.13.189:5140
卡酷动画,http://192.168.1.1:8888/udp/239.93.12.208:5140
优漫卡通,http://192.168.1.1:8888/udp/239.93.12.251:5140
炫动卡通,http://192.168.1.1:8888/udp/239.93.12.173:5140
金熊猫卡通,http://192.168.1.1:8888/udp/239.93.12.172:5140
热门动画,http://192.168.1.1:8888/udp/239.93.12.146:5140
经典动画,http://192.168.1.1:8888/udp/239.93.12.147:5140
嘉佳卡通,http://192.168.1.1:8888/udp/239.93.12.246:5140
金鹰卡通,http://192.168.1.1:8888/udp/239.93.12.108:5140


